City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yaring,6.8662,101.3689,24.7,85,99,3.22,TH,1701041137
83,tura,25.5198,90.2201,16.71,59,52,1.46,IN,1701041137
84,kawalu,-7.3817,108.2082,21.98,93,98,0.55,ID,1701041138
85,flin flon,54.7682,-101.865,-15.09,72,20,5.66,CA,1701041138
86,ushuaia,-54.8,-68.3,6.81,65,75,8.75,AR,1701041138
87,martinsburg,39.4562,-77.9639,6.71,78,100,1.79,US,1701041047
88,taoudenni,22.6783,-3.9836,18.44,19,38,4.01,ML,1701041138
89,gbadolite,4.2833,21.0167,21.21,96,93,1.43,CD,1701041139
90,kyiv,50.4333,30.5167,-0.75,90,100,0.89,UA,1701041058
91,muroto-misakicho,33.2833,134.15,15.5,76,88,2.3,JP,1701041139
92,kollo,13.3043,2.339,31.24,18,100,0.94,NE,1701041139
93,anadyr,64.75,177.4833,2.28,93,75,13.0,RU,1701041139
94,farah,32.5,62.5,11.96,64,57,1.03,AF,1701041140
95,mariehamn,60.0973,19.9348,-2.32,93,75,2.57,AX,1701041140
96,turaiyur,11.1667,78.6167,23.59,94,98,2.31,IN,1701041140
97,jamestown,42.097,-79.2353,4.75,75,100,5.66,US,1701041019
98,whitehorse,60.7161,-135.0538,5.05,75,75,6.71,CA,1701041057
99,veraval,20.9,70.3667,24.01,76,0,3.28,IN,1701041141
100,howard springs,-12.497,131.047,30.95,92,39,1.23,AU,1701041141
101,juan griego,11.0817,-63.9655,26.02,88,1,5.23,VE,1701041141
102,kodinsk,58.6881,99.1844,-23.43,99,9,0.51,RU,1701041141
103,sandnessjoen,66.0217,12.6316,-19.71,70,8,5.0,NO,1701041142
104,la libertad,-2.2333,-80.9,23.81,83,75,4.12,EC,1701041142
105,trincomalee,8.5711,81.2335,26.89,82,100,4.33,LK,1701041142
106,mount pearl,47.5166,-52.7813,1.29,82,100,2.06,CA,1701041142
107,sitka,57.0531,-135.33,8.94,81,100,6.17,US,1701041143
108,richards bay,-28.783,32.0377,21.71,94,15,0.98,ZA,1701041143
109,agat village,13.3886,144.6585,30.2,82,71,2.24,GU,1701041143
110,fisterra,42.9049,-9.2629,13.75,83,100,4.34,ES,1701041143
111,acapulco de juarez,16.8634,-99.8901,29.9,74,75,3.6,MX,1701041019
112,puerto ayora,-0.7393,-90.3518,25.31,90,66,3.13,EC,1701041144
113,sarangani,5.4033,125.4636,28.32,74,86,5.78,PH,1701041144
114,karachi,24.9056,67.0822,16.9,63,52,2.06,PK,1701040925
115,launceston,-41.45,147.1667,13.42,58,100,6.69,AU,1701041144
116,bastrop,32.7562,-91.8724,11.82,59,0,3.09,US,1701041144
117,st. john's,47.5649,-52.7093,1.75,82,100,2.06,CA,1701041017
118,roven'ky,48.0833,39.3776,4.57,69,100,14.04,UA,1701041145
119,holualoa,19.6228,-155.9522,25.91,79,20,6.17,US,1701041145
120,sola,-13.8833,167.55,26.41,84,96,7.9,VU,1701041145
121,khedbrahma,24.0333,73.05,17.87,83,46,4.88,IN,1701041145
122,taroa,8.7058,171.2275,27.93,80,56,9.06,MH,1701041146
123,guisa,20.255,-76.5386,24.25,78,52,0.79,CU,1701041146
124,abong mbang,3.9833,13.1833,21.02,89,57,0.42,CM,1701041146
125,barcelos,41.5388,-8.6151,12.18,92,96,1.1,PT,1701041146
126,oriximina,-1.7656,-55.8661,25.25,85,89,0.94,BR,1701041146
127,pekan,3.4836,103.3996,24.06,94,100,2.56,MY,1701041147
128,petropavlovsk-kamchatsky,53.0452,158.6483,-8.64,74,40,4.47,RU,1701041147
129,alaghsas,17.0187,8.0168,25.28,18,83,4.99,NE,1701041147
130,livingstone,-17.8419,25.8543,24.5,47,18,1.15,ZM,1701041147
131,tabou,4.423,-7.3528,25.64,88,57,2.45,CI,1701041148
132,nabire,-3.3667,135.4833,23.61,94,100,1.24,ID,1701041148
133,santiago de cao,-7.9589,-79.2392,20.07,83,40,4.63,PE,1701041148
134,karbala,32.616,44.0249,18.44,67,0,4.83,IQ,1701041148
135,dalandzadgad,43.5708,104.425,-9.15,75,71,6.16,MN,1701041148
136,navirai,-23.065,-54.1906,19.22,99,100,2.6,BR,1701041149
137,olinda,-8.0089,-34.8553,27.85,65,75,5.14,BR,1701041149
138,uturoa,-16.7333,-151.4333,26.39,78,45,8.12,PF,1701041149
139,zykovo,55.9519,93.1461,-11.88,96,100,1.35,RU,1701041149
140,sao joao da ponte,-15.9292,-44.0078,27.94,44,71,4.35,BR,1701041150
141,northam,51.0333,-4.2167,13.7,95,100,6.74,GB,1701041150
142,maintirano,-18.0667,44.0167,27.92,79,69,5.18,MG,1701041150
143,la ronge,55.1001,-105.2842,-12.86,72,100,2.06,CA,1701041150
144,san luis,-33.295,-66.3356,28.58,23,31,2.63,AR,1701041150
145,solleftea,63.1667,17.2667,-4.08,98,92,1.79,SE,1701041151
146,kone,-21.0595,164.8658,27.58,52,100,1.42,NC,1701041151
147,isafjordur,66.0755,-23.124,3.69,88,96,4.25,IS,1701041151
148,bel ombre,-4.6167,55.4167,26.91,83,40,1.03,SC,1701041151
149,longyearbyen,78.2186,15.6401,1.91,75,75,8.75,SJ,1701041151
150,margaret river,-33.95,115.0667,20.44,61,100,4.58,AU,1701041152
151,kulhudhuffushi,6.6221,73.07,29.04,72,82,7.88,MV,1701041152
152,utrik,11.2278,169.8474,27.85,72,94,9.21,MH,1701041152
153,sanchursk,56.9413,47.2499,0.66,99,100,4.46,RU,1701041152
154,bengkulu,-3.8004,102.2655,23.74,93,99,1.31,ID,1701041152
155,gorontalo,0.5412,123.0595,25.76,86,81,0.97,ID,1701041153
156,hawaiian paradise park,19.5933,-154.9731,26.73,78,20,3.6,US,1701041153
157,lerwick,60.1545,-1.1494,7.0,65,97,12.18,GB,1701041153
158,moranbah,-22.0016,148.0466,26.01,66,95,2.46,AU,1701041153
